player_id,height,current_rank
287803,1.83,86
62790,1.8,99
64580,1.88,31
131442,1.88,122
22218,1.96,110
117916,1.85,120
264344,1.85,47
264344,1.85,47
283070,1.88,7
39712,1.88,295
46390,1.83,248
32466,1.68,350
79467,1.83,225
66874,1.78,644
39712,1.88,295
237452,1.78,79
217464,1.68,333
290569,1.91,566
39711,1.83,108
334293,1.91,287
36678,1.88,270
65016,1.75,976
63642,1.88,291
333007,1.88,850
232057,1.85,134
22970,1.85,417
197446,1.83,337
57155,1.98,326
132558,1.83,235
200159,1.91,91
36300,1.85,188
16683,1.83,165
390214,1.91,313
36300,1.85,188
204776,1.93,389
166198,1.8,329
54975,1.78,366
264978,1.83,303
54573,1.8,88
44549,1.85,198
48225,1.73,517
380044,1.8,364
306421,1.72,137
23082,1.68,99
256104,1.7,112
46304,1.76,76
48455,1.69,71
220801,1.78,126
210831,1.75,31
189986,1.75,33
72376,1.74,43
19546,1.76,25
78551,1.79,27
64496,1.77,10
318575,,73
227431,1.82,41
52025,1.7,69
23082,1.68,99
206568,1.76,46
210831,1.75,31
273680,1.83,69
108565,1.83,143
105607,1.96,173
62404,1.93,286
258908,1.8,224
19704,1.81,59
189986,1.75,33
277187,,526
155556,,194
204006,1.91,649
350691,,891
281443,1.83,1020
268808,,388
199378,1.7,636
372053,,438
199408,,199
232459,,623
348987,,266
223563,,1191
78419,1.7,660
217883,1.93,688
205971,1.83,427
213081,1.98,910
141892,1.66,101
339457,,274
373201,1.83,1324
130628,,303
55309,,320
92879,1.71,198
98607,1.85,359
305745,,556
112957,1.68,140
207654,,606
182056,,233
165866,,177
94779,,1076
64968,1.83,82
189831,1.93,1353
93661,,486
99429,,385
208613,,468
375538,,786
478938,,930
274033,,986
237045,1.8,1425
228644,,1183
329533,1.8,819
19957,1.85,219
302539,,488
55885,,471
420871,,848
318710,,694
208061,,522
62000,,791
373035,,476
389513,,950
161448,1.93,864
55745,1.93,643
118040,1.8,496
267576,1.88,612
355527,1.8,578
105063,1.7,539
377989,,981
387966,,616
303360,,203
71034,1.79,127
108621,,313
168526,,407
160364,,381
244419,1.78,502
71484,1.75,245
71484,1.75,245
201870,,390
92879,1.71,198
222826,1.7,167
200757,,492
248329,,311
89566,,757
189311,1.75,201
224033,1.63,391
138452,1.7,415
297194,,293
238275,,238
376006,,336
314519,,115
41359,1.73,585
383987,1.8,449
213076,1.88,331
244423,,394
445463,,654
274685,,443
221362,,192
207065,,479
72634,,788
238867,1.85,788
215719,,1180
342909,1.93,650
284553,,740
425525,1.78,1064
217150,,1404
338890,1.88,401
339443,,499
232615,1.85,392
300989,,1266
396821,,943
265670,,1018
280123,,1331
248273,,269
369438,,228
192406,,690
217835,1.83,531
65606,1.91,200
420979,,1230
301521,,808
326246,1.88,354
329139,,751
269873,1.83,848
400491,,810
57155,1.98,326
48318,1.77,155
326110,1.73,827
371052,,784
253366,1.91,1442
263653,,190
339765,,963
383652,,327
247858,1.78,999
130624,1.72,473
215205,1.75,862
311586,1.85,584
194136,1.93,497
362567,,851
377363,1.88,470
212809,1.85,675
95939,1.88,845
62000,,791
118052,1.78,234
451884,,856
268808,,388
266466,,1493
256533,,310
198121,,261
342875,,462
204764,1.93,482
64968,1.83,82
277187,,526
179262,1.96,777
326524,1.98,781
335085,,660
155556,,194
88318,,447
168526,,407
256756,1.83,712
223563,,1191
256098,,489
280202,,334
233214,,120
108621,,313
479888,,1077
141892,1.66,101
51943,,257
297194,,293
406665,,244
75813,1.93,46
450685,1.93,900
81041,1.75,550
138966,1.83,1340
17046,1.8,503
257637,1.85,706
231597,,451
238275,,238
221362,,192
138452,1.7,415
198223,1.8,656
149100,1.8,332
207065,,479
369438,,228
338890,1.88,401
189540,1.88,310
108767,1.83,154
114885,1.73,1023
383987,1.8,449
280123,,1331
213076,1.88,331
274685,,443
199378,1.7,636
190208,,662
78419,1.7,660
326246,1.88,354
122368,1.88,28
329816,1.85,744
42029,1.8,363
198121,,261
234320,,589
207654,,606
284553,,740
234309,,410
118040,1.8,496
179262,1.96,777
339443,,499
336308,,209
81275,1.7,892
228644,,1183
460257,,1053
71034,1.79,127
383652,,327
100341,,363
303360,,203
48318,1.77,155
19957,1.85,219
377363,1.88,470
165866,,177
244410,1.88,540
287803,1.83,86
62790,1.8,99
64580,1.88,31
64580,1.88,31
248846,1.78,132
283070,1.88,7
264344,1.85,47
283070,1.88,7
58369,1.83,262
39712,1.88,295
46390,1.83,248
32466,1.68,350
79467,1.83,225
79467,1.83,225
290569,1.91,566
36678,1.88,270
334293,1.91,287
39711,1.83,108
334293,1.91,287
232057,1.85,134
63642,1.88,291
232057,1.85,134
22970,1.85,417
197446,1.83,337
300293,1.83,468
57155,1.98,326
132558,1.83,235
36300,1.85,188
36300,1.85,188
132558,1.83,235
200159,1.91,91
