player_id,plays
192013,right-handed
273680,right-handed
77223,right-handed
88992,right-handed
248846,right-handed
163480,right-handed
67154,right-handed
163480,right-handed
264358,right-handed
66874,right-handed
80665,right-handed
58369,left-handed
233126,right-handed
299481,right-handed
387400,
79467,left-handed
233126,right-handed
52276,right-handed
251784,
77007,right-handed
71950,right-handed
36595,right-handed
255993,right-handed
210490,right-handed
386194,
235576,right-handed
62404,right-handed
300293,right-handed
47767,right-handed
255449,right-handed
55067,right-handed
51345,left-handed
209103,right-handed
51345,left-handed
196122,right-handed
377489,
69500,right-handed
163528,left-handed
315774,right-handed
298057,left-handed
144102,right-handed
76515,left-handed
45584,right-handed
318574,right-handed
19520,right-handed
52025,right-handed
45545,right-handed
67759,right-handed
264980,right-handed
50641,right-handed
206568,right-handed
62924,right-handed
110055,right-handed
252168,right-handed
97995,right-handed
45545,right-handed
256104,right-handed
45584,right-handed
50641,right-handed
67759,right-handed
14844,right-handed
62790,right-handed
36300,right-handed
157808,right-handed
16192,right-handed
72376,right-handed
336222,right-handed
284048,right-handed
276310,
179262,
223484,
351300,
129430,
398073,
336308,
215166,right-handed
204755,
275105,right-handed
407382,
186885,right-handed
326524,right-handed
94747,right-handed
223130,right-handed
51943,
73500,right-handed
280202,
248329,
248326,right-handed
275530,right-handed
88318,right-handed
103375,right-handed
75281,right-handed
245059,
333518,
293708,
256081,
87834,right-handed
52533,right-handed
186885,right-handed
289156,
371934,
393344,
350691,
223484,
220540,
308404,left-handed
348712,
335085,
256098,
136302,right-handed
342875,
284061,
314836,
234309,
197546,
115463,right-handed
228662,
262905,
399603,
451884,
192987,
255128,
372309,
91916,
134342,
334273,
230344,right-handed
297368,left-handed
422838,
377065,right-handed
479888,
111879,
98607,right-handed
408819,
248326,right-handed
406665,right-handed
134532,right-handed
390973,
321792,
216008,
147506,right-handed
231597,
327924,left-handed
455710,
100317,
58267,
107429,
118058,
71284,right-handed
47985,right-handed
293868,right-handed
108563,
126402,left-handed
288465,
232660,
81275,right-handed
330085,
93589,right-handed
136042,right-handed
195840,right-handed
280837,
296802,right-handed
154744,
400489,
63220,right-handed
222183,
100341,left-handed
36300,right-handed
234320,
64315,right-handed
243962,
158636,
114885,right-handed
190208,
16192,right-handed
354634,right-handed
100097,right-handed
412849,
165198,right-handed
92442,right-handed
369288,
237568,
202572,right-handed
297953,
394380,
340742,right-handed
460257,
177686,left-handed
387966,
217883,right-handed
382361,
351300,
348712,
207654,right-handed
290001,
199408,
228644,right-handed
275530,right-handed
373035,right-handed
333518,
318710,
334273,
58423,right-handed
393344,
373201,
234309,
336308,
165866,right-handed
65656,right-handed
94747,right-handed
275105,right-handed
236833,left-handed
111879,
130628,
75281,right-handed
377065,right-handed
118526,
51315,right-handed
256081,
224033,right-handed
420969,
384145,
238147,right-handed
156826,
241718,left-handed
53183,right-handed
52533,right-handed
87834,right-handed
58267,
376006,
158896,right-handed
342835,right-handed
293868,right-handed
327924,left-handed
59281,left-handed
157302,right-handed
126402,left-handed
329533,
165198,right-handed
330085,
107429,
202572,right-handed
412849,
177686,left-handed
296802,right-handed
145112,left-handed
26203,right-handed
269909,
342875,
158636,
63220,right-handed
232459,
236833,left-handed
238867,right-handed
350691,
197516,right-handed
199408,
100097,right-handed
351300,
267576,
277187,
348712,
130624,right-handed
92442,right-handed
75281,right-handed
275105,right-handed
230344,right-handed
168526,
241718,left-handed
192013,right-handed
273680,right-handed
77223,right-handed
273680,right-handed
192013,right-handed
131442,right-handed
163480,right-handed
264358,right-handed
46390,right-handed
66874,right-handed
80665,right-handed
58369,left-handed
233126,right-handed
66874,right-handed
52276,right-handed
36595,right-handed
63642,right-handed
290569,
77007,right-handed
210490,right-handed
255993,right-handed
386194,
235576,right-handed
62404,right-handed
235576,right-handed
300293,right-handed
47767,right-handed
55067,right-handed
51345,left-handed
197446,right-handed
36300,right-handed
209103,right-handed
264978,right-handed
69500,right-handed
76515,left-handed
69500,right-handed
163528,left-handed
315774,right-handed
196122,right-handed
144102,right-handed
318574,right-handed
264980,right-handed
50641,right-handed
206568,right-handed
110055,right-handed
252168,right-handed
97995,right-handed
45545,right-handed
172590,right-handed
256104,right-handed
19546,right-handed
45584,right-handed
50641,right-handed
227431,right-handed
45584,right-handed
67759,right-handed
67759,right-handed
248329,
248326,right-handed
308404,left-handed
197546,
399603,
297368,left-handed
136042,right-handed
136042,right-handed
195840,right-handed
195840,right-handed
100341,left-handed
92442,right-handed
217883,right-handed
348712,
334273,
373201,
336308,
165866,right-handed
65656,right-handed
275105,right-handed
111879,
130628,
75281,right-handed
377065,right-handed
118526,
51315,right-handed
256081,
224033,right-handed
420969,
420969,
384145,
384145,
238147,right-handed
156826,
156826,
238147,right-handed
53183,right-handed
241718,left-handed
241718,left-handed
53183,right-handed
52533,right-handed
87834,right-handed
58267,
376006,
158896,right-handed
158896,right-handed
342835,right-handed
342835,right-handed
293868,right-handed
327924,left-handed
288465,
59281,left-handed
59281,left-handed
157302,right-handed
157302,right-handed
126402,left-handed
157462,right-handed
329533,
311586,
165198,right-handed
330085,
107429,
202572,right-handed
412849,
177686,left-handed
115463,right-handed
296802,right-handed
215205,right-handed
145112,left-handed
321788,right-handed
289156,
26203,right-handed
269909,
26203,right-handed
269909,
342875,
158636,
280837,
63220,right-handed
290001,
302582,right-handed
47603,left-handed
47603,left-handed
232459,
46391,right-handed
129368,left-handed
46391,right-handed
236833,left-handed
163636,right-handed
145130,left-handed
145130,left-handed
238867,right-handed
350691,
263699,right-handed
236825,
197516,right-handed
197516,right-handed
199408,
100097,right-handed
351300,
267576,
277187,
64315,right-handed
37785,right-handed
125006,right-handed
348712,
225273,
201885,
130624,right-handed
92442,right-handed
399603,
75281,right-handed
275105,right-handed
94747,right-handed
275530,right-handed
230344,right-handed
111879,
97977,right-handed
97647,right-handed
297368,left-handed
168526,
51315,right-handed
248326,right-handed
241718,left-handed
87834,right-handed
15894,left-handed
335102,right-handed
96859,right-handed
155860,right-handed
406665,right-handed
53183,right-handed
221362,left-handed
293868,right-handed
338890,right-handed
202572,right-handed
179262,
135786,right-handed
323244,
52244,right-handed
58877,right-handed
258324,right-handed
228739,right-handed
126402,left-handed
100097,right-handed
63090,right-handed
158636,
329533,
274685,
238735,
43748,right-handed
383652,
170946,right-handed
48318,right-handed
342875,
318575,left-handed
197535,right-handed
99131,right-handed
247791,right-handed
58515,right-handed
40994,right-handed
306421,right-handed
311012,right-handed
41404,right-handed
67757,left-handed
303360,
45545,right-handed
273308,
272473,
302007,
52388,right-handed
195315,right-handed
405545,
231208,
250934,right-handed
71284,right-handed
51651,right-handed
46528,right-handed
47985,right-handed
50901,right-handed
275105,right-handed
227014,right-handed
49171,right-handed
447324,
160364,
90814,left-handed
129534,right-handed
207593,right-handed
195334,right-handed
136042,right-handed
399603,
377363,
72230,right-handed
18298,right-handed
197535,right-handed
47810,left-handed
108709,right-handed
168420,right-handed
478938,
289156,
115463,right-handed
129368,left-handed
273680,right-handed
192013,right-handed
131442,right-handed
163480,right-handed
64580,right-handed
163480,right-handed
58369,left-handed
46390,right-handed
66874,right-handed
334293,
36595,right-handed
63642,right-handed
210490,right-handed
290569,
210490,right-handed
235576,right-handed
235576,right-handed
51345,left-handed
197446,right-handed
235576,right-handed
36300,right-handed
209103,right-handed
264978,right-handed
69500,right-handed
76515,left-handed
196122,right-handed
196122,right-handed
264978,right-handed
172590,right-handed
256104,right-handed
19546,right-handed
50641,right-handed
227431,right-handed
45584,right-handed
67759,right-handed
45584,right-handed
19546,right-handed
67759,right-handed
67759,right-handed
136042,right-handed
195840,right-handed
420969,
384145,
156826,
238147,right-handed
53183,right-handed
241718,left-handed
158896,right-handed
342835,right-handed
288465,
59281,left-handed
157302,right-handed
157462,right-handed
157462,right-handed
311586,
115463,right-handed
215205,right-handed
321788,right-handed
145112,left-handed
145112,left-handed
321788,right-handed
289156,
26203,right-handed
26203,right-handed
269909,
280837,
290001,
302582,right-handed
302582,right-handed
47603,left-handed
47603,left-handed
46391,right-handed
129368,left-handed
129368,left-handed
46391,right-handed
163636,right-handed
145130,left-handed
163636,right-handed
145130,left-handed
263699,right-handed
263699,right-handed
236825,
236825,
197516,right-handed
199408,
64315,right-handed
37785,right-handed
37785,right-handed
125006,right-handed
125006,right-handed
225273,
201885,
201885,
225273,
399603,
275105,right-handed
94747,right-handed
275530,right-handed
230344,right-handed
111879,
97647,right-handed
97977,right-handed
97977,right-handed
97647,right-handed
297368,left-handed
168526,
51315,right-handed
248326,right-handed
87834,right-handed
335102,right-handed
15894,left-handed
15894,left-handed
335102,right-handed
96859,right-handed
155860,right-handed
96859,right-handed
155860,right-handed
406665,right-handed
53183,right-handed
221362,left-handed
293868,right-handed
338890,right-handed
202572,right-handed
179262,
135786,right-handed
323244,
58877,right-handed
52244,right-handed
323244,
58877,right-handed
135786,right-handed
52244,right-handed
258324,right-handed
258324,right-handed
228739,right-handed
126402,left-handed
100097,right-handed
49172,right-handed
63090,right-handed
49172,right-handed
158636,
195179,left-handed
195179,left-handed
124708,right-handed
329533,
274685,
238735,
238735,
83397,right-handed
83397,right-handed
43748,right-handed
383652,
170946,right-handed
45258,right-handed
48318,right-handed
342875,
318575,left-handed
197535,right-handed
99131,right-handed
247791,right-handed
58515,right-handed
40994,right-handed
306421,right-handed
311012,right-handed
41404,right-handed
67757,left-handed
303360,
45545,right-handed
273308,
272473,
302007,
52388,right-handed
195315,right-handed
405545,
231208,
250934,right-handed
71284,right-handed
51651,right-handed
46528,right-handed
47985,right-handed
253842,right-handed
16327,right-handed
253842,right-handed
229275,right-handed
50901,right-handed
336621,
59984,right-handed
44547,right-handed
372348,right-handed
275105,right-handed
158912,right-handed
15795,right-handed
227014,right-handed
49171,right-handed
447324,
332985,left-handed
155890,right-handed
160364,
46465,right-handed
90814,left-handed
129534,right-handed
207593,right-handed
215166,right-handed
195334,right-handed
165866,right-handed
72248,right-handed
322082,
136042,right-handed
51323,right-handed
399603,
207089,right-handed
377065,right-handed
377363,
248326,right-handed
44549,right-handed
185434,right-handed
16833,left-handed
169486,right-handed
54975,right-handed
146040,right-handed
303307,
76515,left-handed
87834,right-handed
72230,right-handed
18298,right-handed
197535,right-handed
43206,right-handed
407597,right-handed
70794,
451614,
288499,
191092,
159956,
208604,
405033,
246283,
288474,
179248,
336819,
47810,left-handed
329507,
196903,right-handed
215666,right-handed
119118,
92779,right-handed
66874,right-handed
214247,right-handed
367815,
233138,right-handed
388080,
154490,right-handed
224087,
193083,
179262,
108709,right-handed
383652,
196050,
51651,right-handed
293868,right-handed
52388,right-handed
168420,right-handed
126402,left-handed
158636,
478938,
289156,
177686,left-handed
115463,right-handed
247791,right-handed
246159,right-handed
231208,
311586,
180984,left-handed
192275,right-handed
92667,left-handed
191056,right-handed
351204,
246084,right-handed
54903,right-handed
205777,
214341,right-handed
97363,right-handed
170964,left-handed
221211,left-handed
349488,
58515,right-handed
311012,right-handed
99131,right-handed
67757,left-handed
50915,right-handed
46391,right-handed
275105,right-handed
267576,
154744,
341820,
90814,left-handed
195334,right-handed
47810,left-handed
129368,left-handed
124804,right-handed
215166,right-handed
385832,
289164,
353490,right-handed
204755,
284553,
234320,
118058,
231594,
332984,
371872,
189993,
306452,
217150,
160022,
455688,
329139,
245561,
220540,
188493,
289153,
371052,right-handed
121248,
171026,
416482,
160530,
445463,
420979,
38674,
79597,right-handed
392635,
305014,left-handed
383066,
405085,
36593,right-handed
311586,
155890,right-handed
63220,right-handed
164010,left-handed
265632,
266466,
152896,right-handed
383428,
237045,
425537,
182086,right-handed
340531,
228644,right-handed
268807,
280123,
391007,
100093,right-handed
193230,right-handed
228662,
215719,
245105,
291010,
277187,
222299,
233010,
320723,
296354,
20001,
20347,right-handed
216457,
326111,left-handed
243925,right-handed
250857,
57155,right-handed
264358,right-handed
265438,
377356,
234888,
169370,
289173,
108701,right-handed
63238,
47801,right-handed
19329,right-handed
44236,right-handed
200778,
106141,
192341,
52735,right-handed
110215,
18092,right-handed
135828,
60614,right-handed
205971,right-handed
267242,right-handed
222958,right-handed
49660,right-handed
121022,
460291,
379585,
195817,
298618,
339765,
445464,
47969,
478921,
98751,
349923,
414904,
192342,right-handed
385294,
362043,
232087,
373196,
166074,
281477,
377410,
255461,
382361,
66874,right-handed
90798,right-handed
145936,right-handed
448140,
312761,
78793,right-handed
163480,right-handed
64580,right-handed
163480,right-handed
58369,left-handed
334293,
334293,
