tournament_id,ground_type
70826,
70826,
126168,Hardcourt indoor
126168,Hardcourt indoor
126168,Hardcourt indoor
126168,Hardcourt indoor
126168,Hardcourt indoor
126168,Hardcourt indoor
126168,Hardcourt indoor
126168,Hardcourt indoor
126168,Hardcourt indoor
126174,Hardcourt outdoor
126174,Hardcourt outdoor
126174,Hardcourt outdoor
126174,Hardcourt outdoor
126174,Hardcourt outdoor
126174,Hardcourt outdoor
126174,Hardcourt outdoor
126174,Hardcourt outdoor
126179,Hardcourt indoor
126179,Hardcourt indoor
126179,Hardcourt indoor
126179,Hardcourt indoor
126179,Hardcourt indoor
126179,Hardcourt indoor
126179,Hardcourt indoor
126179,Hardcourt indoor
126192,Hardcourt indoor
126192,Hardcourt indoor
126192,Hardcourt indoor
126192,Hardcourt indoor
126192,Hardcourt indoor
126192,Hardcourt indoor
126192,Hardcourt indoor
126192,Hardcourt indoor
126192,Hardcourt indoor
126196,Red clay
126196,Red clay
126196,Red clay
126196,Red clay
126196,Red clay
126196,Red clay
126196,Red clay
126196,Red clay
78622,
126217,Hardcourt outdoor
126217,Hardcourt outdoor
126217,Hardcourt outdoor
126217,Hardcourt outdoor
126217,Hardcourt outdoor
126218,Hardcourt indoor
126218,Hardcourt indoor
126218,Hardcourt indoor
126218,Hardcourt indoor
126218,Hardcourt indoor
126218,Hardcourt indoor
126218,Hardcourt indoor
126217,Hardcourt outdoor
126217,Hardcourt outdoor
126217,Hardcourt outdoor
126217,Hardcourt outdoor
126218,Hardcourt indoor
126218,Hardcourt indoor
78622,
78622,
78622,
126168,Hardcourt indoor
126168,Hardcourt indoor
126192,Hardcourt indoor
126192,Hardcourt indoor
126192,Hardcourt indoor
126218,Hardcourt indoor
126218,Hardcourt indoor
126331,Hardcourt indoor
126331,Hardcourt indoor
126337,Hardcourt outdoor
126337,Hardcourt outdoor
126337,Hardcourt outdoor
126331,Hardcourt indoor
126337,Hardcourt outdoor
126331,Hardcourt indoor
126331,Hardcourt indoor
126314,Red clay
126331,Hardcourt indoor
126331,Hardcourt indoor
126312,Red clay
126312,Red clay
126329,Carpet indoor
126329,Carpet indoor
126329,Carpet indoor
126334,Hardcourt indoor
126334,Hardcourt indoor
126329,Carpet indoor
126334,Hardcourt indoor
126334,Hardcourt indoor
126334,Hardcourt indoor
126334,Hardcourt indoor
126328,Hardcourt indoor
126328,Hardcourt indoor
126328,Hardcourt indoor
126328,Hardcourt indoor
126328,Hardcourt indoor
126321,Hardcourt outdoor
126328,Hardcourt indoor
126324,Hardcourt outdoor
126285,Hardcourt outdoor
126285,Hardcourt outdoor
126293,Hardcourt outdoor
126312,Red clay
126321,Hardcourt outdoor
126321,Hardcourt outdoor
126337,Hardcourt outdoor
126337,Hardcourt outdoor
126337,Hardcourt outdoor
126337,Hardcourt outdoor
126312,Red clay
126331,Hardcourt indoor
126375,Hardcourt outdoor
126375,Hardcourt outdoor
126375,Hardcourt outdoor
126375,Hardcourt outdoor
126375,Hardcourt outdoor
126375,Hardcourt outdoor
126375,Hardcourt outdoor
126375,Hardcourt outdoor
126329,Carpet indoor
126324,Hardcourt outdoor
126309,Red clay
126329,Carpet indoor
126329,Carpet indoor
126321,Hardcourt outdoor
126321,Hardcourt outdoor
126321,Hardcourt outdoor
126331,Hardcourt indoor
126331,Hardcourt indoor
126328,Hardcourt indoor
126328,Hardcourt indoor
126328,Hardcourt indoor
126329,Carpet indoor
126334,Hardcourt indoor
126334,Hardcourt indoor
126334,Hardcourt indoor
126334,Hardcourt indoor
126334,Hardcourt indoor
126334,Hardcourt indoor
126334,Hardcourt indoor
126334,Hardcourt indoor
126334,Hardcourt indoor
126285,Hardcourt outdoor
126285,Hardcourt outdoor
126285,Hardcourt outdoor
126285,Hardcourt outdoor
126285,Hardcourt outdoor
126285,Hardcourt outdoor
126293,Hardcourt outdoor
126293,Hardcourt outdoor
126312,Red clay
126312,Red clay
126293,Hardcourt outdoor
126314,Red clay
126314,Red clay
126293,Hardcourt outdoor
126293,Hardcourt outdoor
126293,Hardcourt outdoor
126309,Red clay
126309,Red clay
126324,Hardcourt outdoor
126314,Red clay
126309,Red clay
126312,Red clay
126312,Red clay
294,
294,
126321,Hardcourt outdoor
126337,Hardcourt outdoor
126321,Hardcourt outdoor
126309,Red clay
126328,Hardcourt indoor
126293,Hardcourt outdoor
126375,Hardcourt outdoor
126324,Hardcourt outdoor
126192,Hardcourt indoor
126314,Red clay
126321,Hardcourt outdoor
126337,Hardcourt outdoor
126314,Red clay
126309,Red clay
126314,Red clay
126192,Hardcourt indoor
126328,Hardcourt indoor
126309,Red clay
126314,Red clay
126309,Red clay
126331,Hardcourt indoor
126324,Hardcourt outdoor
126375,Hardcourt outdoor
126337,Hardcourt outdoor
126375,Hardcourt outdoor
126324,Hardcourt outdoor
126324,Hardcourt outdoor
126329,Carpet indoor
126312,Red clay
126321,Hardcourt outdoor
126329,Carpet indoor
126324,Hardcourt outdoor
126337,Hardcourt outdoor
126375,Hardcourt outdoor
126328,Hardcourt indoor
126321,Hardcourt outdoor
126331,Hardcourt indoor
126337,Hardcourt outdoor
126328,Hardcourt indoor
126375,Hardcourt outdoor
126321,Hardcourt outdoor
126375,Hardcourt outdoor
126324,Hardcourt outdoor
126328,Hardcourt indoor
126331,Hardcourt indoor
126337,Hardcourt outdoor
126329,Carpet indoor
126375,Hardcourt outdoor
126331,Hardcourt indoor
126328,Hardcourt indoor
126328,Hardcourt indoor
126329,Carpet indoor
126331,Hardcourt indoor
126375,Hardcourt outdoor
126334,Hardcourt indoor
126334,Hardcourt indoor
126328,Hardcourt indoor
126334,Hardcourt indoor
126334,Hardcourt indoor
126334,Hardcourt indoor
126285,Hardcourt outdoor
126285,Hardcourt outdoor
47372,
47372,
47372,
47372,
47372,
47372,
126293,Hardcourt outdoor
126285,Hardcourt outdoor
126293,Hardcourt outdoor
126285,Hardcourt outdoor
47372,
47372,
126293,Hardcourt outdoor
126293,Hardcourt outdoor
126312,Red clay
47372,
47372,
126309,Red clay
126312,Red clay
126309,Red clay
126312,Red clay
126314,Red clay
126337,Hardcourt outdoor
126314,Red clay
126312,Red clay
126337,Hardcourt outdoor
294,
47372,
47372,
