match_id,player_id,full_name,current_rank
11998445,287803,"Cazaux, Arthur",86
11998446,62790,"Lestienne, Constant",99
11998447,64580,"Ćorić, Borna",31
11998448,131442,"Mmoh, Michael",122
11998449,22218,"Paire, Benoit",110
11998450,117916,"Shapovalov, Denis",120
11998451,264344,"Shevchenko, Alexander",47
11998456,264344,"Shevchenko, Alexander",47
11998459,283070,"Rune, Holger",7
11998666,39712,"Saville, Luke",295
11998667,46390,"Uchiyama, Yasutaka",248
11998670,32466,"Moriya, Hiroki",350
11998671,79467,"Jasika, Omar",225
11998672,66874,"Imai, Shintaro",644
11998674,39712,"Saville, Luke",295
11998675,237452,"Hijikata, Rinky",79
11998676,217464,"Noguchi, Rio",333
11998772,290569,"Vandecasteele, Quinn",566
11998774,39711,"Duckworth, James",108
11998780,334293,"Quinn, Ethan",287
11998782,36678,"Sandgren, Tennys",270
11998783,65016,"Rubin, Noah",976
11998784,63642,"Kwiatkowski, Thai-Son",291
11998785,333007,"Cassone, Murphy",850
11998786,232057,"Nava, Emilio",134
11999004,22970,"Krajinović, Filip",417
11999005,197446,"Naw, Hazem",337
11999007,57155,"Jorda Sanchis, David",326
11999009,132558,"Kolar, Zdenek",235
11999010,200159,"Rodionov, Jurij",91
11999011,36300,"Travaglia, Stefano",188
11999012,16683,"Kukushkin, Mikhail",165
11999013,390214,"Blockx, Alexander",313
11999014,36300,"Travaglia, Stefano",188
11999209,204776,"Alves, Mateus",389
11999210,166198,"Stodder, Timo",329
11999211,54975,"Casanova, Hernan",366
11999212,264978,"Pucinelli de Almeida, Matheus",303
11999213,54573,"Coria, Federico",88
11999215,44549,"Cecchinato, Marco",198
11999219,48225,"Dutra da Silva, Daniel",517
11999220,380044,"Campana Lee, Gerard",364
12002040,306421,"Fruhvirtova, Linda",137
12002041,23082,"Rodionova, Arina",99
12002042,256104,"Volynets, Katie",112
12002043,46304,"Schmiedlova, Anna-Karolina",76
12002044,48455,"Golubic, Viktorija",71
12002048,220801,"Niemeier, Jule",126
12002049,210831,"Potapova, Anastasia",31
12002050,189986,"Yastremska, Dayana",33
12002051,72376,"Siniakova, Katerina",43
12002052,19546,"Pavlyuchenkova, Anastasia",25
12002053,78551,"Mertens, Elise",27
12002055,64496,"Ostapenko, Jelena",10
12002057,318575,"Shnaider, Diana",73
12002058,227431,"Wang, Xinyu",41
12002060,52025,"Wang, Yafan",69
12002064,23082,"Rodionova, Arina",99
12002065,206568,"Burel, Clara",46
12002068,210831,"Potapova, Anastasia",31
12010829,273680,Flavio Cobolli,69
12010830,108565,"Zapata Miralles, Bernabe",143
12011297,105607,"Choinski, Jan",173
12011301,62404,"Otte, Oscar",286
12011306,258908,"Passaro, Francesco",224
12014547,19704,"Martic, Petra",59
12016976,189986,"Yastremska, Dayana",33
12017442,277187,"Abbagnato, Anastasia",526
12017453,155556,"Bulgaru, Miriam Bianca",194
12017455,204006,"Zgirovsky, Alexander",649
12017458,350691,"Szajrych, Jasza",891
12017459,281443,"Lopez, Noah",1020
12017462,268808,"Radišić, Nika",388
12017463,199378,"Giacomini, Luca",636
12017464,372053,"Kuhl, Carolina",438
12017465,199408,"Jorge, Francisca",199
12017468,232459,"Hindova, Denisa",623
12017473,348987,"Bartůňková, Nikola",266
12017477,223563,"Hamaliy, Elizabet",1191
12017480,78419,"Martinez Martinez, Jorge",660
12017488,217883,"Decamps, Gabriel",688
12017495,205971,"Zuk, Kacper",427
12017501,213081,"Delage, Pierre",910
12017504,141892,"Carlé, María Lourdes",101
12017505,339457,"Costoulas, Sofia",274
12017506,373201,"Alimli, Mikail",1324
12017510,130628,"Miroshnichenko, Veronica",303
12017511,55309,"Lee, Gabriela",320
12017513,92879,"Shymanovich, Iryna",198
12017514,98607,"Chang, Sophie",359
12017517,305745,"Monnot , Amandine",556
12017520,112957,"Jeanjean, Léolia",140
12017522,207654,"Tubello, Alice",606
