player_id,height
192013,1.93
273680,1.83
77223,1.85
88992,1.83
248846,1.78
163480,1.96
67154,1.83
163480,1.96
264358,1.88
66874,1.78
80665,1.88
58369,1.83
233126,1.7
299481,1.91
387400,1.75
79467,1.83
233126,1.7
52276,1.88
251784,1.93
77007,1.83
71950,
36595,1.8
255993,1.83
210490,1.88
386194,1.85
235576,1.88
62404,1.93
300293,1.83
47767,1.83
255449,1.88
55067,1.85
51345,2.03
209103,1.88
51345,2.03
196122,1.85
377489,1.91
69500,1.88
163528,1.85
315774,1.78
298057,1.75
144102,1.88
76515,1.91
45584,1.73
318574,
19520,1.72
52025,1.7
45545,1.63
67759,1.75
264980,1.66
50641,1.79
206568,1.76
62924,1.82
110055,1.7
252168,1.82
97995,1.78
45545,1.63
256104,1.7
45584,1.73
50641,1.79
67759,1.75
14844,1.93
62790,1.8
36300,1.85
157808,1.93
16192,1.85
72376,1.74
336222,
284048,1.7
276310,
179262,1.96
223484,1.78
351300,1.96
129430,
398073,1.91
336308,
215166,
204755,
275105,
407382,
186885,1.83
326524,1.98
94747,1.83
223130,
51943,
73500,1.68
280202,
248329,
248326,
275530,
88318,
103375,
75281,1.73
245059,
333518,
293708,
256081,
87834,
52533,1.7
186885,1.83
289156,
371934,
393344,1.91
350691,
223484,1.78
220540,
308404,1.71
348712,
335085,
256098,
136302,
342875,
284061,
314836,
234309,
197546,1.85
115463,1.91
228662,
262905,
399603,1.88
451884,
192987,
255128,
372309,
91916,
134342,
334273,
230344,1.93
297368,1.78
422838,
377065,
479888,
111879,
98607,1.85
408819,
248326,
406665,
134532,
390973,
321792,
216008,
147506,1.68
231597,
327924,1.75
455710,
100317,
58267,
107429,
118058,
71284,
47985,
293868,
108563,1.75
126402,1.88
288465,1.83
232660,
81275,1.7
330085,1.78
93589,1.83
136042,1.96
195840,1.96
280837,
296802,1.91
154744,
400489,
63220,
222183,
100341,
36300,1.85
234320,
64315,
243962,
158636,
114885,1.73
190208,
16192,1.85
354634,1.68
100097,1.85
412849,
165198,1.85
92442,1.68
369288,1.78
237568,
202572,1.85
297953,
394380,
340742,1.78
460257,
177686,1.78
387966,
217883,1.93
382361,
351300,1.96
348712,
207654,
290001,
199408,
228644,
275530,
373035,
333518,
318710,
334273,
58423,1.64
393344,1.91
373201,1.83
234309,
336308,
165866,
65656,1.7
94747,1.83
275105,
236833,
111879,
130628,
75281,1.73
377065,
118526,
51315,
256081,
224033,1.63
420969,
384145,2.03
238147,
156826,1.85
241718,1.78
53183,1.85
52533,1.7
87834,
58267,
376006,
158896,1.96
342835,1.78
293868,
327924,1.75
59281,1.7
157302,1.8
