match_id,winner_code
11974053,1
11974066,2
11998445,2
11998446,2
11998447,1
11998448,1
11998449,2
11998450,2
11998451,1
11998456,2
11998459,1
11998666,2
11998667,1
11998670,2
11998671,1
11998672,1
11998674,1
11998675,2
11998676,2
11998772,1
11998774,1
11998780,1
11998782,1
11998783,2
11998784,1
11998785,2
11998786,1
11999004,2
11999005,1
11999007,2
11999009,1
11999010,1
11999011,1
11999012,2
11999013,2
11999014,1
11999209,2
11999210,2
11999211,2
11999212,1
11999213,1
11999215,2
11999219,2
11999220,2
12001976,2
12002040,2
12002041,1
12002042,1
12002043,2
12002044,2
12002048,2
12002049,1
12002050,2
12002051,2
12002052,1
12002053,1
12002055,1
12002057,1
12002058,1
12002060,1
12002064,2
12002065,2
12002068,2
12002078,1
12002109,2
12002112,2
12010829,1
12010830,2
12011297,
12011301,1
12011306,
12014547,2
12016976,1
12017442,1
12017453,1
12017455,2
12017458,1
12017459,2
12017462,1
12017463,1
12017464,2
12017465,1
12017468,1
12017473,2
12017477,1
12017480,1
12017483,1
12017488,1
12017495,2
12017501,2
12017504,1
12017505,2
12017506,1
12017510,1
12017511,2
12017513,2
12017514,2
12017517,2
12017520,2
12017522,1
12017523,2
12017526,1
12017528,2
12017533,1
12017539,2
12017648,2
12017656,2
12018083,2
12018812,2
12018833,2
12018836,1
12018842,2
12018844,2
12018847,2
12018849,1
12018857,1
12018899,1
12018932,2
12018933,2
12018934,2
12018937,1
12018939,2
12018941,1
12018944,1
12018945,2
12019043,2
12019094,2
12019105,1
12019106,1
12019658,2
12019672,2
12019673,2
12019677,1
12019755,1
12019899,1
12019944,1
12019945,1
12019949,2
12019979,2
12020048,2
12020068,1
12020069,2
12020070,1
12020071,2
12020072,2
12020073,2
12020074,1
12020075,2
12020509,2
12020510,1
12020513,1
12020532,1
12020544,1
12020555,1
12020624,2
12020718,2
12021294,1
12021309,1
12021318,2
12021328,2
12021399,1
12021419,1
12021434,1
12021435,2
12021442,1
12021451,2
12021493,2
12021494,1
12021502,2
12021503,2
12021508,1
12021512,
12021516,2
12021518,2
12021519,2
12021521,2
12021522,1
12021530,2
12021532,1
12021538,2
12021539,1
12021558,2
12021562,2
12021566,2
12021581,1
12021589,2
12021590,2
12021599,2
12021601,1
12021605,1
12021622,2
12021623,2
12021624,2
12021658,2
12021659,2
12021806,1
12021807,2
12021848,1
12022185,1
12022248,1
12022250,2
12022251,2
12022262,2
12022282,1
12022295,1
12022305,2
12022321,2
12022327,2
12022336,2
12022371,2
12022396,2
12022430,2
12022438,1
12022439,2
12022452,1
12022453,2
12022492,1
12022513,1
12022525,1
12022526,1
12022527,2
12022528,2
12022562,2
12022672,1
12022674,2
12022675,2
12022680,2
12022685,2
12022703,1
12022718,2
12022727,2
12022801,1
12022802,2
12023335,1
12023340,1
12023348,1
12023350,1
12023352,1
12023353,2
12023361,
12023362,1
12023461,2
12023462,2
12023465,1
12023470,1
12024041,2
12024043,2
12024064,2
12024149,2
12024225,1
12024232,2
12024235,1
12024236,2
12024243,2
12024248,2
12024249,1
12024252,1
12024254,2
12024307,2
12024308,2
12024356,1
12024368,1
12024386,1
12024387,1
12024430,2
12024431,2
12024440,2
12024550,1
12024572,1
12024628,1
12024632,1
12024643,2
12024644,2
12024645,2
12024652,2
12024769,2
12024782,1
12024913,1
12025016,1
12025030,1
12025056,1
12025057,2
12025085,1
12025144,1
12025672,2
11974052,2
11974053,1
11974066,2
11974067,2
11974068,1
11974071,2
11987997,1
11998445,2
11998446,2
11998447,1
11998452,1
11998453,2
11998454,1
11998456,2
11998459,1
11998664,1
11998666,2
11998667,1
11998670,2
11998671,1
11998673,1
11998772,1
11998776,2
11998777,1
11998779,1
11998780,1
11998781,2
11998784,1
11998786,1
11999004,2
11999005,1
11999006,2
11999007,2
11999009,1
11999011,1
11999014,1
11999015,2
11999018,1
11999019,1
11999206,2
11999207,1
11999208,1
11999211,2
11999212,1
11999213,1
11999214,2
11999219,2
12001944,1
12001976,2
12002041,1
12002049,1
12002050,2
12002051,2
12002053,1
12002055,1
12002057,1
12002058,1
12002059,1
12002060,1
12002061,2
12002064,2
12002065,2
12002066,1
12002067,2
12002068,2
12002072,2
12002078,1
12002102,1
12002109,2
12002112,2
12017513,2
12017514,2
12018899,1
12019043,2
12019658,2
12020048,2
12021512,
12021513,
12021514,
12021515,
12021516,2
12021538,2
12021658,2
12022282,1
12022321,2
12022492,1
12022526,1
12022528,2
12022562,2
12022672,1
12022675,2
12022685,2
12022703,1
12022718,2
12022727,2
12022801,1
12022802,2
12023335,1
12023340,1
12023348,1
12023349,1
12023350,1
12023351,2
12023352,1
12023353,2
12023354,
12023355,1
12023356,2
12023358,
12023359,
12023360,
12023361,
12023362,1
12023461,2
12023462,2
12023465,1
12023470,1
12024039,
12024040,
12024041,2
12024042,
12024043,2
12024064,2
12024149,2
12024225,1
12024226,1
12024231,2
12024232,2
12024233,
12024234,
12024235,1
12024236,2
12024239,1
12024240,1
12024242,1
12024243,2
12024245,2
12024248,2
12024249,1
12024252,1
12024254,2
12024307,2
12024308,2
12024355,2
12024356,1
12024365,2
12024368,1
12024369,2
12024370,
12024371,2
12024386,1
12024387,1
12024388,
12024389,
12024390,
12024426,
12024430,2
12024431,2
12024435,1
12024440,2
12024489,1
12024510,2
12024512,1
12024513,2
12024514,2
12024550,1
12024555,2
12024556,1
12024557,2
12024559,
12024572,1
12024613,2
12024614,2
12024615,
12024617,
12024628,1
12024632,1
12024637,1
12024640,1
12024641,1
12024642,
12024643,2
12024644,2
12024645,2
12024652,2
12024769,2
12024782,1
12024794,1
12024837,1
12024838,
12024840,1
12024913,1
12024934,2
12024935,2
12025016,1
12025030,1
12025044,2
12025056,1
12025057,2
12025061,2
12025067,1
12025085,1
12025130,1
12025132,1
12025133,1
12025138,1
12025139,1
12025142,1
12025144,1
12025149,2
12025174,2
12025672,2
12025679,2
12025684,2
12025685,2
12025687,1
12025690,1
12025752,2
12025799,
12025849,1
12026470,2
12026623,1
12026792,2
12026797,2
12026852,2
12026853,2
12026855,2
12026857,2
12026875,2
12026878,1
12026987,2
12027048,2
12027058,2
12027148,2
12027491,2
12027494,2
12027516,2
12027519,1
12027535,2
12027539,2
12027541,2
12027547,1
12027611,1
12027640,
12027641,
12027643,2
12027644,2
12027645,2
12027646,1
12027647,2
12027648,2
12027649,2
12027651,1
12027652,2
12027653,1
12027654,1
12027665,1
12027666,2
12027667,2
12027668,2
12027669,2
12027672,2
12027673,2
12027674,1
12027677,1
12027678,2
12027679,1
12027680,1
12027726,2
12027906,1
12027950,2
12027973,1
12027974,
12027975,1
12027978,1
12027980,2
12027981,1
12027982,1
12027984,2
12028119,2
12028146,1
12028542,1
12028737,2
12029386,2
12029395,2
12029459,2
12029551,2
12029619,1
12029656,1
12029657,2
12029664,2
12037643,2
12038557,2
12038623,2
12038644,2
12038683,1
12038684,2
12038685,2
12038726,2
12038917,1
12039412,
11974049,2
11974052,2
11974053,1
11974067,2
11974068,1
11974070,2
11974071,2
11987997,1
11998452,1
11998453,2
11998454,1
11998456,2
11998457,2
11998458,2
11998663,1
11998664,1
11998673,1
11998775,2
11998776,2
11998777,1
11998778,2
11998779,1
11998781,2
11999006,2
11999008,2
11999014,1
11999015,2
11999016,1
11999018,1
11999019,1
11999206,2
11999207,1
11999208,1
11999214,2
11999216,2
11999217,1
12001944,1
12001987,2
12002059,1
12002060,1
12002061,2
12002065,2
12002066,1
12002067,2
12002068,2
12002069,1
12002070,1
12002072,2
12002073,1
12002102,1
12002107,2
12002110,2
12002113,1
12021513,
12021514,
12021515,
12023349,1
12023351,2
12023354,
12023355,1
12023356,2
12023358,
12023359,
12023360,
12024039,
12024040,
12024042,
12024226,1
12024231,2
12024233,
12024234,
12024238,
12024239,1
12024240,1
12024241,
12024242,1
12024245,2
12024355,2
12024365,2
12024366,1
12024367,1
12024368,1
12024369,2
12024370,
12024371,2
12024386,1
12024388,
12024389,
12024390,
12024426,
12024435,1
12024489,1
12024510,2
12024511,
12024512,1
12024513,2
12024514,2
12024555,2
12024556,1
12024557,2
12024558,
12024559,
12024613,2
12024614,2
12024615,
12024616,
12024617,
12024637,1
12024638,
12024639,
12024640,1
12024641,1
12024642,
12024644,2
12024794,1
12024836,
12024837,1
12024838,
12024839,
12024840,1
12024934,2
12024935,2
12024936,1
12024937,1
12024938,1
12025044,2
12025057,2
12025061,2
12025067,1
12025085,1
12025128,
12025129,
12025130,1
12025131,1
12025132,1
12025133,1
12025136,
12025137,1
12025138,1
12025139,1
12025140,2
12025142,1
12025144,1
12025149,2
12025174,2
12025679,2
12025681,2
12025682,
12025683,
12025684,2
12025685,2
12025687,1
12025688,
12025689,
12025690,1
12025691,1
12025752,2
12025799,
12025849,1
12026470,2
12026623,1
12026792,2
12026797,2
12026852,2
12026853,2
12026854,
12026855,2
12026856,
12026857,2
12026858,
12026859,
12026860,2
12026861,
12026875,2
12026876,2
12026877,1
12026878,1
12026987,2
12027048,2
12027054,
12027056,
12027058,2
12027059,2
12027148,2
12027227,1
12027229,
12027230,
12027231,1
12027491,2
12027494,2
12027516,2
12027517,2
12027518,
12027519,1
12027531,
12027532,2
12027533,2
12027535,2
12027539,2
12027541,2
12027544,2
12027545,1
12027547,1
12027611,1
12027640,
12027641,
12027643,2
12027644,2
12027645,2
12027646,1
12027647,2
12027648,2
12027649,2
12027651,1
12027652,2
12027653,1
12027654,1
12027665,1
12027666,2
12027667,2
12027668,2
12027669,2
12027672,2
12027673,2
12027674,1
12027677,1
12027678,2
12027679,1
12027680,1
12027726,2
12027801,1
12027802,1
12027803,1
12027804,
12027905,2
12027906,1
12027918,1
12027919,1
12027948,2
12027949,1
12027950,2
12027969,2
12027972,1
12027973,1
12027974,
12027975,1
12027976,1
12027977,2
12027978,1
12027979,1
12027980,2
12027981,1
12027982,1
12027983,2
12027984,2
12027985,2
12027987,1
12027988,2
12028119,2
12028140,1
12028144,2
12028146,1
12028190,2
12028191,1
12028250,2
12028542,1
12028607,1
12028737,2
12028951,2
12028952,1
12028953,1
12028954,1
12028955,1
12028956,2
12028957,1
12028958,1
12029386,2
12029387,2
12029395,2
12029459,2
12029551,2
12029619,1
12029656,1
12029657,2
12029664,2
12029687,1
12029688,2
12029689,2
12029690,1
12029691,1
12029692,2
12029693,1
12029694,1
12029695,1
12029696,1
12029697,2
12029698,2
12029699,1
12029700,2
12029701,2
12037643,2
12037708,2
12037709,1
12037710,1
12037718,1
12037719,1
12037720,
12038178,1
12038182,1
12038187,1
12038428,1
12038429,1
12038431,1
12038470,1
12038552,1
12038557,2
12038599,1
12038621,1
12038622,1
12038623,2
12038624,2
12038630,2
12038644,2
12038651,1
12038672,1
12038683,1
12038684,2
12038685,2
12038725,2
12038726,2
12038854,2
12038866,2
12038917,1
12039033,1
12039054,2
12039178,1
12039179,1
12039180,2
12039181,2
12039190,2
12039191,1
12039192,2
12039193,1
12039194,1
12039195,2
12039196,1
12039202,1
12039218,2
12039242,2
12039252,2
12039268,1
12039273,2
12039278,2
