player_id,full_name,current_rank,total_prize,country
192013,"Auger-Aliassime, Felix",30,10166964,Canada
273680,Flavio Cobolli,69,808536,Italy
77223,"Martinez, Pedro",101,2732689,Spain
88992,"Muller, Alexandre",81,1178035,France
248846,"Mayot, Harold",132,424547,France
163480,"Bublik, Alexander",23,5125443,Kazakhstan
67154,"Barrere, Gregoire",124,2251135,France
163480,"Bublik, Alexander",23,5125443,Kazakhstan
264358,"Llamas Ruiz, Pablo",151,187139,Spain
66874,"Imai, Shintaro",644,116542,Japan
80665,"Polmans, Marc",168,1367548,Australia
58369,"Bolt, Alex",262,1317097,Australia
233126,"Sweeny, Dane",202,349103,Australia
299481,"Sekulic, Philip",265,135028,Australia
387400,"Jones, Hayden",1057,22671,Australia
79467,"Jasika, Omar",225,368436,Australia
233126,"Sweeny, Dane",202,349103,Australia
52276,"Krueger, Mitchell",293,1035498,USA
251784,"Maloney, Patrick",841,9365,USA
77007,"Kozlov, Stefan",816,834132,USA
71950,"Fanselow, Sebastian",315,158435,Germany
36595,"Kudla, Denis",178,3780958,USA
255993,"Trotter, James Kent",393,41194,Japan
210490,"Kypson, Patrick",150,322030,USA
386194,"Brady, Patrick",730,14913,United Kingdom
235576,"Nakashima, Brandon",89,2707274,USA
62404,"Otte, Oscar",286,2039566,Germany
300293,"Rehberg, Max Hans",468,69813,Germany
47767,"Lamasine, Tristan",285,493452,France
255449,"Royer, Valentin",269,79589,France
55067,"Marie, Jules",205,162857,France
51345,"Damm Jr, Martin",209,164618,USA
209103,"Molleker, Rudolf",187,477749,Germany
51345,"Damm Jr, Martin",209,162535,USA
196122,"Ugo Carabelli, Camilo",127,449872,Argentina
377489,"Feldbausch, Kilian",410,26377,Switzerland
69500,"Mager, Gianluca",257,1332329,Italy
163528,"Lavagno, Edoardo",239,104189,Italy
315774,"Torres, Juan Bautista",412,92810,Argentina
298057,"Gill, Felix",334,92683,United Kingdom
144102,"Weis, Alexander",301,105420,Italy
76515,"Gakhov, Ivan",176,325313,Russia
45584,"Zhu, Lin",58,2606738,China
318574,"Bai, Zhuoxuan",84,296338,China
19520,"Maria, Tatjana",47,4322089,Germany
52025,"Wang, Yafan",69,2139419,China
45545,"Putintseva, Yulia",80,5849846,Kazakhstan
67759,"Alexandrova, Ekaterina",16,4928632,Russia
264980,"Cocciaretto, Elisabetta",56,1372077,Italy
50641,"Vekić, Donna",28,5972094,Croatia
206568,"Burel, Clara",46,1630318,France
62924,"Boulter, Katie",49,1683128,United Kingdom
110055,"Bronzetti, Lucia",52,1399159,Italy
252168,"Tauson, Clara",92,1362854,Denmark
