player_id,full_name,current_rank,total_prize,country
287803,"Cazaux, Arthur",86,643582,France
62790,"Lestienne, Constant",99,1404567,France
64580,"Ćorić, Borna",31,9947986,Croatia
131442,"Mmoh, Michael",122,1775118,USA
22218,"Paire, Benoit",110,8622687,France
117916,"Shapovalov, Denis",120,9314089,Canada
264344,"Shevchenko, Alexander",47,942516,Kazakhstan
264344,"Shevchenko, Alexander",47,930041,Kazakhstan
283070,"Rune, Holger",7,6829997,Denmark
39712,"Saville, Luke",295,1143306,Australia
46390,"Uchiyama, Yasutaka",248,1215823,Japan
32466,"Moriya, Hiroki",350,863509,Japan
79467,"Jasika, Omar",225,368436,Australia
66874,"Imai, Shintaro",644,116542,Japan
39712,"Saville, Luke",295,1143306,Australia
237452,"Hijikata, Rinky",79,1341718,Australia
217464,"Noguchi, Rio",333,224932,Japan
290569,"Vandecasteele, Quinn",566,30844,USA
39711,"Duckworth, James",108,3025512,Australia
334293,"Quinn, Ethan",287,190772,USA
36678,"Sandgren, Tennys",270,2977482,USA
65016,"Rubin, Noah",976,675394,USA
63642,"Kwiatkowski, Thai-Son",291,428698,USA
333007,"Cassone, Murphy",850,30913,USA
232057,"Nava, Emilio",134,607618,USA
22970,"Krajinović, Filip",417,5118235,Serbia
197446,"Naw, Hazem",337,38127,Syria
57155,"Jorda Sanchis, David",326,78366,Spain
132558,"Kolar, Zdenek",235,845845,Czech Republic
200159,"Rodionov, Jurij",91,856779,Austria
36300,"Travaglia, Stefano",188,1965020,Italy
16683,"Kukushkin, Mikhail",165,5792700,Kazakhstan
390214,"Blockx, Alexander",313,56381,Belgium
36300,"Travaglia, Stefano",188,1959394,Italy
204776,"Alves, Mateus",389,112545,Brazil
166198,"Stodder, Timo",329,83828,Germany
54975,"Casanova, Hernan",366,223345,Argentina
264978,"Pucinelli de Almeida, Matheus",303,199863,Brazil
54573,"Coria, Federico",88,2191253,Argentina
44549,"Cecchinato, Marco",198,4158297,Italy
48225,"Dutra da Silva, Daniel",517,270603,Brazil
380044,"Campana Lee, Gerard",364,22414,South Korea
306421,"Fruhvirtova, Linda",137,1043106,Czech Republic
23082,"Rodionova, Arina",99,1780953,Australia
256104,"Volynets, Katie",112,1016675,USA
46304,"Schmiedlova, Anna-Karolina",76,3598695,Slovakia
48455,"Golubic, Viktorija",71,3131993,Switzerland
220801,"Niemeier, Jule",126,1314496,Germany
210831,"Potapova, Anastasia",31,2650013,Russia
189986,"Yastremska, Dayana",33,3276935,Ukraine
72376,"Siniakova, Katerina",43,8914160,Czech Republic
19546,"Pavlyuchenkova, Anastasia",25,11284293,Russia
78551,"Mertens, Elise",27,11045299,Belgium
64496,"Ostapenko, Jelena",10,12186715,Latvia
318575,"Shnaider, Diana",73,506127,Russia
227431,"Wang, Xinyu",41,2015161,China
52025,"Wang, Yafan",69,2139419,China
23082,"Rodionova, Arina",99,1780953,Australia
206568,"Burel, Clara",46,1630318,France
210831,"Potapova, Anastasia",31,2650013,Russia
273680,Flavio Cobolli,69,808536,Italy
108565,"Zapata Miralles, Bernabe",143,1968301,Spain
105607,"Choinski, Jan",173,407693,United Kingdom
62404,"Otte, Oscar",286,2039566,Germany
258908,"Passaro, Francesco",224,468490,Italy
19704,"Martic, Petra",59,7013499,Croatia
189986,"Yastremska, Dayana",33,3276935,Ukraine
277187,"Abbagnato, Anastasia",526,20183,Italy
155556,"Bulgaru, Miriam Bianca",194,172443,Romania
204006,"Zgirovsky, Alexander",649,26698,Belarus
350691,"Szajrych, Jasza",891,11948,Poland
281443,"Lopez, Noah",1020,16365,Switzerland
268808,"Radišić, Nika",388,69758,Slovenia
199378,"Giacomini, Luca",636,46087,Italy
372053,"Kuhl, Carolina",438,20778,Germany
199408,"Jorge, Francisca",199,128973,Portugal
232459,"Hindova, Denisa",623,37723,Czech Republic
348987,"Bartůňková, Nikola",266,64641,Czech Republic
223563,"Hamaliy, Elizabet",1191,13094,Portugal
78419,"Martinez Martinez, Jorge",660,28076,Spain
217883,"Decamps, Gabriel",688,46389,Brazil
205971,"Zuk, Kacper",427,302945,Poland
213081,"Delage, Pierre",910,23093,France
141892,"Carlé, María Lourdes",101,326446,Argentina
339457,"Costoulas, Sofia",274,43061,Belgium
373201,"Alimli, Mikail",1324,5625,France
130628,"Miroshnichenko, Veronica",303,50479,Russia
55309,"Lee, Gabriela",320,321600,Romania
92879,"Shymanovich, Iryna",198,368013,Belarus
98607,"Chang, Sophie",359,336571,USA
305745,"Monnot , Amandine",556,17909,France
112957,"Jeanjean, Léolia",140,621881,France
207654,"Tubello, Alice",606,58858,France
182056,"Robbe, Alice",233,168230,France
165866,"Miyazaki, Yuriko Lily",177,433615,United Kingdom
94779,"Bechri, Chiraz",1076,48547,Tunisia
64968,"Dodin, Océane",82,2089953,France
189831,"Makhlouf, Mohamed Nazim",1353,11184,Algeria
93661,"Fetecău, Irina",486,141128,Romania
99429,"Hule, Petra",385,73427,Australia
208613,"Yamaguchi, Mei",468,33012,Japan
375538,"Hrdinkova, Denise",786,11431,Czech Republic
478938,"Samsonova, Laura",930,3036,Czech Republic
274033,"Habib, Ali",986,6476,United Kingdom
237045,"Summers, Matthew",1425,3684,United Kingdom
228644,"Pogosian, Sergei",1183,9624,Russia
329533,"Vilicich, Bautista",819,8267,Argentina
19957,"Hercog, Polona",219,3629385,Slovenia
302539,"Ruggeri, Jennifer",488,17274,Italy
55885,"Herdzelas, Dea",471,176284,Bosnia & Herzegovina
420871,"Waligora, Amelia",848,7955,Belgium
318710,"Laskevich, Evialina",694,15608,Belarus
208061,"Mansouri, Yasmine",522,65013,France
62000,"Kan, Victoria",791,176488,Russia
373035,"Van Impe, Amelie",476,24442,Belgium
389513,"Fedorova, Aglaya",950,10944,Russia
161448,"Jones, Ben",864,39883,United Kingdom
55745,"Negritu, Christoph",643,81189,Germany
118040,"Klok, Denys",496,62251,Russia
267576,"Bouquier, Arthur",612,48658,France
355527,"Jong, Alexander Maarten",578,21389,Netherlands
105063,"Gavrilă, Oana",539,84737,Romania
377989,"Balus, Irina",981,9503,Slovakia
387966,"Munk Mortensen, Rebecca",616,9678,Denmark
303360,"Falei, Aliona",203,40137,Belarus
71034,"Šrámková, Rebecca",127,649118,Slovakia
108621,"Kempen, Magali",313,183368,Belgium
168526,"Appleton, Emily",407,125333,United Kingdom
160364,"Ghioroaie, Ylona-Georgiana",381,96953,Romania
244419,"Vylegzhanin, Nikolay",502,22864,Russia
71484,"Chirico, Louisa",245,1095697,USA
71484,"Chirico, Louisa",245,1095697,USA
201870,"Hewitt, Dalayna",390,59331,USA
92879,"Shymanovich, Iryna",198,368013,Belarus
222826,"Li, Ann",167,1411182,USA
200757,"Lemaître, Tiphanie",492,50785,France
248329,"Hu, Victoria",311,42858,USA
89566,"Daavettila, Sara",757,19359,USA
189311,"Aiava, Destanee",201,580276,Australia
224033,"Naito, Yuki",391,313610,Japan
138452,"Shibahara, Ena",415,1413773,Japan
297194,"Ito, Aoi",293,34610,Japan
238275,"Sawangkaew, Mananchaya",238,48301,Thailand
376006,"Joint, Maya",336,57328,Australia
314519,"Semenistaja, Darja",115,231541,Latvia
41359,"Yashina, Ekaterina",585,212817,Russia
383987,"Gea, Arthur",449,34373,France
213076,"Erhard, Mathys",331,69818,France
244423,"Sato, Naho",394,45689,Japan
445463,"Mi, Tianmi",654,9536,China
274685,"Toth, Amarissa Kiara",443,44999,Hungary
221362,"Monnet, Carole",192,344219,France
207065,"Shimizu, Eri",479,36437,Japan
72634,"Ozeki, Michika",788,72307,Japan
238867,"Ovcharenko, Oleksandr",788,43943,Ukraine
215719,"Brigida, Omar",1180,10116,Italy
342909,"Simakin, Ilia",650,19441,Russia
284553,"Zolotareva, Anastasia",740,71429,Russia
425525,"Cadenasso, Gianluca",1064,5618,Italy
217150,"Polukhin, Savva",1404,13273,Russia
338890,"Merida Aguilar, Daniel",401,44270,Spain
339443,"Bielinskyi, Viacheslav",499,26531,Ukraine
232615,"Krutykh, Oleksii",392,239421,Ukraine
300989,"Komano, Margaux",1266,6150,France
396821,"Zhukov, Maxim",943,12746,Russia
265670,"Stagno, Beatrice",1018,12445,Italy
280123,Perfetti Noah,1331,4127,Italy
248273,"Rouvroy, Margaux",269,94747,France
369438,"Todoni, Anca Alexia",228,41950,Romania
