match_id,slug
12087266,round-of-16
12087267,quarterfinals
12087269,quarterfinals
12087270,round-of-16
12087271,round-of-16
12087277,quarterfinals
12087279,quarterfinals
12087282,round-of-16
12087303,quarterfinals
12087305,round-of-16
12087307,round-of-16
12087309,quarterfinals
12087310,round-of-16
12087311,quarterfinals
12087314,quarterfinals
12087318,round-of-16
12087889,semifinals
12087895,quarterfinals
12087900,quarterfinals
12087901,semifinals
12087917,quarterfinals
12087922,semifinals
12087923,semifinals
12087924,quarterfinals
12087925,quarterfinals
12087927,quarterfinals
12087936,quarterfinals
12087937,round-of-16
12087939,quarterfinals
12087941,round-of-16
12087942,round-of-16
12087946,quarterfinals
12087947,quarterfinals
12087949,round-of-16
12088016,quarterfinals
12088018,quarterfinals
12088019,quarterfinals
12088020,round-of-16
12088021,quarterfinals
12088025,round-of-16
12088027,round-of-16
12088038,quarterfinals
12088040,semifinals
12088046,quarterfinals
12088049,quarterfinals
12088050,quarterfinals
12088051,semifinals
12088056,final
12088057,semifinals
12088058,semifinals
12088067,quarterfinals
12088069,round-of-16
12088071,quarterfinals
12088072,quarterfinals
12088073,round-of-16
12088076,semifinals
12088078,quarterfinals
12088086,final
12088090,quarterfinals
12088092,semifinals
12088095,semifinals
12106247,round-of-16
12106257,round-of-16
12106354,round-of-16
12107741,round-of-16
12107829,round-of-16
12108169,round-of-16
12109003,round-of-16
12109018,round-of-16
12109297,round-of-16
12109807,round-of-16
12110514,round-of-16
12110637,round-of-16
12110675,quarterfinals
12110714,round-of-16
12110850,round-of-16
12110863,round-of-16
12110875,round-of-16
12110886,round-of-16
12110894,round-of-16
12110919,round-of-16
12110977,round-of-16
12111059,round-of-16
12111214,round-of-16
12111413,round-of-16
12111435,round-of-16
12111445,quarterfinals
12111466,round-of-16
12111490,round-of-16
12111566,round-of-16
12111571,round-of-16
12111572,round-of-16
12111605,round-of-16
12111635,round-of-16
12111692,round-of-16
12111693,round-of-16
12111700,quarterfinals
12111746,round-of-16
12111784,round-of-16
12111866,round-of-16
12111980,round-of-16
12111990,round-of-16
12112023,round-of-16
12112050,round-of-16
12112058,round-of-16
12112096,round-of-16
12112183,round-of-16
12112193,round-of-16
12112205,round-of-16
12112214,round-of-16
12112643,round-of-16
12112644,quarterfinals
12112648,quarterfinals
12112649,quarterfinals
12112650,quarterfinals
12112652,quarterfinals
12112673,quarterfinals
12112674,quarterfinals
12112705,quarterfinals
12112706,quarterfinals
12112709,quarterfinals
12112710,quarterfinals
12112740,quarterfinals
12112743,quarterfinals
12112746,quarterfinals
12112747,quarterfinals
12112795,quarterfinals
12112816,quarterfinals
12112897,quarterfinals
12113049,quarterfinals
12113218,semifinals
12113219,quarterfinals
12113268,quarterfinals
12113284,quarterfinals
12113285,quarterfinals
12113294,quarterfinals
12113295,quarterfinals
12113307,quarterfinals
12113308,semifinals
12113317,quarterfinals
12113322,quarterfinals
12113325,semifinals
12113351,semifinals
12113520,quarterfinals
12113560,quarterfinals
12113561,quarterfinals
12113601,quarterfinals
12113637,quarterfinals
12113638,quarterfinals
12113698,quarterfinals
12113724,quarterfinals
12113725,quarterfinals
12113726,quarterfinals
12113753,quarterfinals
12113769,quarterfinals
12113770,quarterfinals
12113771,quarterfinals
12113823,quarterfinals
12113840,quarterfinals
12113857,quarterfinals
12113875,quarterfinals
12113877,round-of-16
12113879,quarterfinals
12113902,quarterfinals
12113937,quarterfinals
12113989,quarterfinals
12113990,quarterfinals
12113991,quarterfinals
12114091,quarterfinals
12114171,quarterfinals
12114215,quarterfinals
12114291,quarterfinals
12114293,quarterfinals
12114411,quarterfinals
12114412,quarterfinals
12114506,quarterfinals
12114507,quarterfinals
12114508,semifinals
12114646,quarterfinals
12114659,quarterfinals
12114675,quarterfinals
12114745,quarterfinals
12114764,quarterfinals
12114877,quarterfinals
12114926,quarterfinals
12114956,quarterfinals
12114975,semifinals
12115057,quarterfinals
12115070,quarterfinals
12115163,quarterfinals
12115176,quarterfinals
12115294,quarterfinals
12115380,quarterfinals
12115412,quarterfinals
12115413,quarterfinals
12115417,quarterfinals
12115432,quarterfinals
12115451,quarterfinals
12115456,quarterfinals
12115482,quarterfinals
12115547,quarterfinals
12115577,quarterfinals
12115875,quarterfinals
12116318,semifinals
12116336,semifinals
12116337,semifinals
12116338,semifinals
12116339,semifinals
12116344,semifinals
12116371,semifinals
12116372,semifinals
12116452,semifinals
12116545,semifinals
12116672,semifinals
12116699,semifinals
12116719,final
12116852,quarterfinals
12116878,semifinals
12117362,semifinals
12117459,quarterfinals
12117464,semifinals
12117465,semifinals
12117498,semifinals
12117499,semifinals
12117623,semifinals
12117624,semifinals
12117656,semifinals
12117667,semifinals
12117691,final
12117823,semifinals
12117874,semifinals
12117901,semifinals
12117970,semifinals
12117997,semifinals
12118220,quarterfinals
12118243,semifinals
12118244,semifinals
12118435,semifinals
12118510,semifinals
12118601,semifinals
12118602,semifinals
12118853,semifinals
12087267,quarterfinals
12087269,quarterfinals
12087276,semifinals
12087277,quarterfinals
12087279,quarterfinals
12087284,semifinals
12087303,quarterfinals
12087304,semifinals
12087309,quarterfinals
12087311,quarterfinals
12087314,quarterfinals
12087317,semifinals
12087889,semifinals
12087898,final
12087901,semifinals
12087920,final
12087922,semifinals
12087923,semifinals
12087936,quarterfinals
12087938,semifinals
12087939,quarterfinals
12087946,quarterfinals
12087947,quarterfinals
12087950,semifinals
12088016,quarterfinals
12088017,semifinals
12088019,quarterfinals
12088021,quarterfinals
12088026,semifinals
12088040,semifinals
12088051,semifinals
12088052,final
12088056,final
12088068,final
12088072,quarterfinals
12088076,semifinals
12088077,semifinals
12088078,quarterfinals
12088086,final
12111692,round-of-16
12113317,quarterfinals
12113322,quarterfinals
12113561,quarterfinals
12113770,quarterfinals
12113937,quarterfinals
12114171,quarterfinals
12114215,quarterfinals
12114508,semifinals
12114764,quarterfinals
12114877,quarterfinals
12114926,quarterfinals
12114956,quarterfinals
12114975,semifinals
12115057,quarterfinals
12115163,quarterfinals
12115294,quarterfinals
12115380,quarterfinals
12115412,quarterfinals
12115413,quarterfinals
12115417,quarterfinals
12115432,quarterfinals
12115451,quarterfinals
12115456,quarterfinals
12115482,quarterfinals
12115547,quarterfinals
12115577,quarterfinals
